date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:44:13	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:14%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/tobacco/tobacco-features/surgeon-generals-report.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/tobacco/tobacco-features/surgeon-generals-report.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:14	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:14%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/rsv/about/index.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/rsv/about/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:14	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:15%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/group-a-strep/about/strep-throat.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/group-a-strep/about/strep-throat.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:14	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:15%20GMT	https://web.archive.org/web/20241230193547im_/https://www.cdc.gov/homepage/images/common-cold.jpg	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547im_/https_/www.cdc.gov/homepage/images/common-cold.jpg	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:14	81538/81538	---M--	200	added ('OK')	image/jpeg	date:Sun,%2002%20Feb%202025%2018:44:15%20GMT	https://web.archive.org/web/20241231044952im_/https://www.cdc.gov/homepage/images/common-cold.jpg	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241231044952im_/https_/www.cdc.gov/homepage/images/common-cold.jpg	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:14	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:15%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/health-topics.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/health-topics.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:15	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:15%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/outbreaks/index.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/outbreaks/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:15	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:16%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/common-cold/about/	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/common-cold/about/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:15	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:16%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/outbreaks/index.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/outbreaks/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:16	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:16%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/salmonella/outbreaks/cucumbers-11-24/index.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/salmonella/outbreaks/cucumbers-11-24/index.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
12:44:16	0/0	---M--	302	error ('FOUND')	text/plain	date:Sun,%2002%20Feb%202025%2018:44:17%20GMT	https://web.archive.org/web/20241230193547/https://www.cdc.gov/listeria/outbreaks/meat-and-poultry-products-11-24.html	C:/My%20Web%20Sites/TheyWontBurnUs/web.archive.org/web/20241230193547/https_/www.cdc.gov/listeria/outbreaks/meat-and-poultry-products-11-24.html	(from https://web.archive.org/web/20241230193547/https://www.cdc.gov/)
